libdbusmenu-qt4 0.9.3+16.04.20160218-2
libdbusmenu-qt5 0.9.3+16.04.20160218-4
libdca 0.0.6-1
libde265 1.0.3-1
libdmtx 0.7.5-1
libdmx 1.1.4-1
libdrm 2.4.98-1
libdv 1.0.0-7
libdvbpsi 1:1.3.2-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libebml 1.3.7-1
libedit 20181209_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libevdev 1.6.0-1
libevent 2.1.8-2
libexif 0.6.21-3
libexttextcat 3.4.5-1
libfakekey 0.3-1
libfbclient 3.0.4.33054-1
libfdk-aac 2.0.0-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libgcrypt 1.8.4-1
libgdata 0.17.9-1
libgee 0.20.1-2
libgexiv2 0.12.0-1
libgit2 1:0.27.8-1
libglade 2.6.4-6
libglvnd 1.1.1-1
libgnome-keyring 3.12.0+11+g3766bcc-1
libgpg-error 1.36-1
libgphoto2 2.5.22-1
libgudev 232-1
libgusb 0.3.0-1
libheif 1.4.0-1
libibus 1.5.20-2
libical 3.0.4-3
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.1.1-2
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libindicator-gtk3 12.10.1-8
libinput 1.13.1-1
libinput-gestures 2.43-1
libixion 0.14.1-2
libjpeg-turbo 2.0.2-1
libkdcraw 19.04.0-1
libkexiv2 19.04.0-1
libkeybinder3 0.3.2-2
libkipi 19.04.0-1
libksba 1.3.5-1
libkscreen 5.15.4-1
libksysguard 5.15.4-1
liblangtag 0.6.2-2
libldac 2.0.2.3-2
libldap 2.4.47-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmatroska 1.5.0-1
libmbim 1.18.2-1
libmediainfo 19.04-1
libmm-glib 1.10.0-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpeg2 0.5.1-6
libmspub 0.1.4-5
libmtp 1.1.16-1
libmwaw 0.3.15-1
libmypaint 1.3.0-6
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnftnl 1.1.1-1
libnghttp2 1.36.0-1
libnl 3.4.0-1
libnm 1.18.0-1
libnm-glib 1.18.0-1
libnma 1.8.21dev+3+gb4c365b1-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
liboauth 1.0.3+14+g186fb14-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-2
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.1-1
libplacebo 1.7.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-8
libpsl 0.20.2-5
libpulse 12.2-2
libpwquality 1.4.0-2
libqalculate 3.1.0-1
libqmi 1.22.4-1
libqtxdg 3.3.1-3
libqxp 0.0.2-2
libraqm 0.5.0-1
libraw 0.19.2-1
libraw1394 2.1.2-2
libreoffice-fresh 6.2.3-2
librevenge 0.0.4-2
librsvg 2:2.44.13-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.0-1
libsecret 0.18.8-2
libshout 1:2.4.1-4
libsidplay 1.36.59-9
libsigc++ 2.10.1-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.17-1
libsoup 2.66.1-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspiro 1:0.5.20150702-2
libssh 0.8.7-1
libssh2 1.8.1-1
libstaroffice 0.0.6-1
libstemmer 0+337-3
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.28-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtommath 1.1.0-1
libtool 2.4.6+42+gb88cebd5-3
libunistring 0.9.10-1
libunity 7.1.4-8
libunwind 1.3.1-1
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.33.2-1
libuv 1.28.0-1
libva 2.4.1-1
libvdpau 1.2-1
libvisio 0.1.6-6
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.8.0-1
libwacom 0.33-1
libwbclient 4.10.2-1
libwebp 1.0.2-1
libwmf 0.2.12-1
libwnck3 3.32.0-2
libwpd 0.10.3-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.7-1
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.3-1
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.4-1
libxkbcommon-x11 0.8.4-1
libxkbfile 1.1.0-1
libxml2 2.9.9-2
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.11-1
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzen 0.4.37-2
libzip 1.5.2-1
libzmf 0.0.2-6
licenses 20181104-1
linux 5.0.10.arch1-1
linux-api-headers 5.0.7-1
linux-firmware 20190424.4b6cf2b-1
linux-headers 5.0.10.arch1-1
llvm-libs 8.0.0-2
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lpsolve 5.5.2.5-3
lsof 4.91-1
lua 5.3.5-2
luajit 2.0.5-2
lvm2 2.02.184-4
lz4 1:1.9.1-1
lzo 2.10-2
m4 1.4.18-2
mailspring 1.6.1-1
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.00-1
mdadm 4.1-1
media-player-info 24-1
megasync 4.0.2.0-2
mesa 19.0.3-1
metis 5.1.0.p5-1
milou 5.15.4-1
minizip 1:1.2.11-3
mkinitcpio 25-1
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190116-1
modemmanager 1.10.0-1
modemmanager-qt 5.57.0-1
mongodb-compass 1.17.0-1
mpfr 4.0.2-1
mpg123 1.25.10-1
mtdev 1.1.5-2
mypaint-brushes 1.3.0-3
nano 4.2-1
ncurses 6.1-6
ndctl 64.1-2
neofetch 6.0.0-1
neon 0.30.2-3
netctl 1.20-1
nettle 3.4.1-1
network-manager-applet 1.8.21dev+3+gb4c365b1-1
networkmanager 1.18.0-1
networkmanager-qt 5.57.0-1
ninja 1.9.0-1
nm-connection-editor 1.8.21dev+3+gb4c365b1-1
noto-fonts 20190111-1
noto-fonts-cjk 20190409-1
noto-fonts-emoji 20180810-2
npth 1.6-1
nspr 4.21-1
nss 3.43-1
okular 19.04.0-1
openal 1.19.1-2
opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.0-2
openssh 8.0p1-1
openssl 1.1.1.b-1
openssl-1.0 1.0.2.r-1
openvpn 2.4.7-1
opus 1.3.1-1
orc 0.4.29-1
os-prober 1.76-1
otf-san-francisco 1:1.0-4
oxygen 5.15.4-1
p11-kit 0.23.15-1
p7zip 16.02-5
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20190109-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.43.0-2
pangomm 2.42.0-1
parted 3.2-9
partitionmanager 4.0.0-1
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.32-2
peek 1.3.1-3
perl 5.28.2-1
perl-error 0.17027-1
perl-mailtools 2.20-2
perl-timedate 2.30-5
phonon-qt5 4.10.2-1
phonon-qt5-vlc 0.10.2-1
pinentry 1.1.0-4
pipewire 0.2.5+3+g371da358-1
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.1-1
plasma-browser-integration 5.15.4-1
plasma-desktop 5.15.4-1
plasma-framework 5.57.0-1
plasma-integration 5.15.4-1
plasma-nm 5.15.4-1
plasma-pa 5.15.4-1
plasma-sdk 5.15.4-1
plasma-vault 5.15.4-1
plasma-workspace 5.15.4-2
plasma-workspace-wallpapers 5.15.4-1
polkit 0.115+24+g5230646-1
polkit-kde-agent 5.15.4-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.76.1-1
poppler-data 0.4.9-1
poppler-qt5 0.76.1-1
popt 1.16-10
postman-bin 7.0.9-1
powerdevil 5.15.4-1
ppp 2.4.7-5
prison 5.57.0-1
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-modules-bt-git r121.bff80fd-1
purpose 5.57.0-1
pygobject-devel 3.32.1-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
pyqt5-common 5.12.1-1
python 3.7.3-1
python-appdirs 1.4.3-2
python-asn1crypto 0.24.0-2
python-atspi 2.32.1-1
python-bcrypt 3.1.6-1
python-cached-property 1.5.1-2
python-cairo 1.18.0-1
python-cffi 1.12.3-1
python-chardet 3.0.4-2
python-cryptography 2.6.1-1
python-dbus 1.2.8-2
python-dbus-common 1.2.8-2
python-docker 3.7.2-1
python-docker-pycreds 0.4.0-1
python-dockerpty 0.4.1-4
python-docopt 0.6.2-5
python-gobject 3.32.1-1
python-idna 2.8-1
python-jsonschema 2.6.0-3
python-packaging 19.0-1
python-paramiko 2.4.2-1
python-pbr 5.2.0-1
python-ply 3.11-2
python-pyasn1 0.4.5-1
python-pycparser 2.19-1
python-pyinotify 0.9.6-4
python-pynacl 1.3.0-1
python-pyparsing 2.4.0-1
python-pyqt5 5.12.1-1
python-qscintilla-qt5 2.11.1-1
python-qscintilla-qt5-common 2.11.1-1
python-requests 2.21.0-1
python-setuptools 1:41.0.1-1
python-sip-pyqt5 4.19.16-1
python-six 1.12.0-1
python-texttable 1.6.1-2
python-urllib3 1.24.2-1
python-websocket-client 0.56.0-1
python-xerox 0.4.1-2
python-xlib 0.24-1
python-yaml 3.13-2
python2 2.7.16-1
python2-cairo 1.18.0-1
python2-gobject2 2.28.7-2
qca 2.2.1-1
qqc2-desktop-style 5.57.0-1
qrencode 4.0.2-1
qscintilla-qt5 2.11.1-1
qt-at-spi 0.3.1-5
qt4 4.8.7-28
qt5-base 5.12.3-2
qt5-charts 5.12.3-1
qt5-connectivity 5.12.3-1
qt5-declarative 5.12.3-1
qt5-graphicaleffects 5.12.3-1
qt5-imageformats 5.12.3-1
qt5-location 5.12.3-1
qt5-multimedia 5.12.3-1
qt5-quickcontrols 5.12.3-1
qt5-quickcontrols2 5.12.3-1
qt5-script 5.12.3-1
qt5-sensors 5.12.3-1
qt5-speech 5.12.3-1
qt5-svg 5.12.3-1
qt5-tools 5.12.3-1
qt5-webchannel 5.12.3-1
qt5-webengine 5.12.3-1
qt5-webkit 5.212.0alpha2-28
qt5-x11extras 5.12.3-1
raptor 2.0.15-11
rasqal 1:0.9.33-2
re2 20190401-1
readline 8.0.0-1
redland 1:1.0.17-7
redshift 1.12-2
reiserfsprogs 3.6.27-2
rest 0.8.1-1
rhash 1.3.8-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-4
run-parts 4.8.6.1-1
runc 1.0.0rc8-1
s-nail 14.9.13-2
sbc 1.4-1
sddm 0.18.1-1
sddm-kcm 5.15.4-1
sdl 1.2.15-10
sdl2 2.0.9-1
sed 4.7-1
shaderc 2018.0-3
shadow 4.6-2
shared-mime-info 1.12-1
shotwell 2:0.30.4-1
signon-kwallet-extension 19.04.0-1
signon-plugin-oauth2 0.24-2
signon-ui 0.17+20150611-2
signond 8.60-1
slack-desktop 3.4.0-1
slang 2.3.2-1
smartmontools 7.0-1
smbclient 4.10.2-1
snappy 1.1.7-1
sni-qt 0.2.6-5
socat 1.7.3.3-1
solid 5.57.0-1
sonnet 5.57.0-1
sound-theme-freedesktop 0.8-3
spectacle 19.04.0-1
speedtest-cli 2.1.1-1
speex 1.2.0-2
speexdsp 1.2rc3-4
spirv-tools 2018.5-1
spotify 1:1.0.98.78-2
sqlite 3.28.0-1
squashfuse 0.1.103-2
sshfs 3.5.2-1
startup-notification 0.12-6
sudo 1.8.27-1
suitesparse 5.4.0-1
syntax-highlighting 5.57.0-1
sysfsutils 2.1.0-10
systemd 242.19-1
systemd-libs 242.19-1
systemd-sysvcompat 242.19-1
systemsettings 5.15.4-1
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
tdb 1.3.18-2
teamviewer 14.2.8352-1
telegram-desktop-bin 1.6.7-1
tevent 1:0.9.39-2
texinfo 6.6-1
the-libs 1.8.1-0
thin-provisioning-tools 0.8.0-1
threadweaver 5.57.0-1
tidy 5.7.16-1
